method,train_seed,training_collision_penalty,training_projection_enabled,checkpoint_sha256,layout_suite_schema_version,layout_suite_id,layout_suite_sha256,layout_suite_path,layout_id,layout_repeat,evaluation_seed,evaluation_collision_penalty,evaluation_policy_mode,max_episode_steps,layout_max_obstacles,layout_agent_radius,layout_goal_radius,projection_mode,policy,checkpoint,episode,seed,episode_return,episode_length,success,collision,terminated,truncated,final_distance_to_goal,min_obstacle_clearance,action_bound_clipping_count,action_bound_clipping_rate,speed_action_bound_clipping_count,speed_action_bound_clipping_rate,turn_rate_action_bound_clipping_count,turn_rate_action_bound_clipping_rate,mean_action_bound_clipping_norm,max_action_bound_clipping_norm,projection_enabled,projection_intervention_count,projection_intervention_rate,mean_projection_correction_norm,max_projection_correction_norm,mean_projection_slack_sum,max_projection_slack,projection_solver_failure_count,projection_lookahead_distance,projection_alpha,projection_slack_penalty,projection_extra_clearance,source_csv,result_build_schema_version
ppo_train_projection,1,10.0,True,3c5949efe582518ed18dd33bd0066b919e2240bf8d1a1675995de14bf291227d,navigation_layout_suite_v1,fixed_training_geometry_v1,c977b0b340e62770327cec65ebed9920cd7ac8d51038c5b6a5bfd8c47ce8625c,evaluation\layouts\fixed_training_geometry.json,fixed_training_geometry,55,10055,10.0,stochastic,200,3,0.1,0.25,enabled,ppo_train_projection,runs\checkpoints\final\ppo_train_projection_51200_seed1.pt,55,10055,10.777036794562106,88,True,False,True,False,0.2137836789347529,0.0131077306521441,57,0.6477272727272727,38,0.4318181818181818,32,0.3636363636363636,0.4443152317189843,1.7815320491790771,True,36,0.4090909090909091,0.3038414283273271,2.0271838986343087,0.0011734694168236,0.0136370794820388,0,0.25,2.0,1000.0,0.0,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\evaluation\final\fixed_training_geometry\ppo_train_projection\seed1\projection_enabled.csv,projection_result_tables_v1
ppo_train_projection,1,10.0,True,3c5949efe582518ed18dd33bd0066b919e2240bf8d1a1675995de14bf291227d,navigation_layout_suite_v1,fixed_training_geometry_v1,c977b0b340e62770327cec65ebed9920cd7ac8d51038c5b6a5bfd8c47ce8625c,evaluation\layouts\fixed_training_geometry.json,fixed_training_geometry,56,10056,10.0,stochastic,200,3,0.1,0.25,enabled,ppo_train_projection,runs\checkpoints\final\ppo_train_projection_51200_seed1.pt,56,10056,10.723534771514467,98,True,False,True,False,0.2140691378068644,0.0248001267542345,59,0.6020408163265306,45,0.4591836734693877,29,0.2959183673469387,0.5216349291324645,4.172596454620361,True,57,0.5816326530612245,0.3844343199889143,1.994151938706964,0.0009328298716101,0.0089727080049861,0,0.25,2.0,1000.0,0.0,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\evaluation\final\fixed_training_geometry\ppo_train_projection\seed1\projection_enabled.csv,projection_result_tables_v1
ppo_train_projection,1,10.0,True,3c5949efe582518ed18dd33bd0066b919e2240bf8d1a1675995de14bf291227d,navigation_layout_suite_v1,fixed_training_geometry_v1,c977b0b340e62770327cec65ebed9920cd7ac8d51038c5b6a5bfd8c47ce8625c,evaluation\layouts\fixed_training_geometry.json,fixed_training_geometry,57,10057,10.0,stochastic,200,3,0.1,0.25,enabled,ppo_train_projection,runs\checkpoints\final\ppo_train_projection_51200_seed1.pt,57,10057,10.981346509091717,94,True,False,True,False,0.219087417444459,0.0321610873966828,55,0.5851063829787234,51,0.5425531914893617,26,0.2765957446808511,0.5341341917599646,2.3053066730499268,True,54,0.574468085106383,0.4080867349424418,2.075625662185582,0.0010563296941689,0.0137272472130565,0,0.25,2.0,1000.0,0.0,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\evaluation\final\fixed_training_geometry\ppo_train_projection\seed1\projection_enabled.csv,projection_result_tables_v1
ppo_train_projection,1,10.0,True,3c5949efe582518ed18dd33bd0066b919e2240bf8d1a1675995de14bf291227d,navigation_layout_suite_v1,fixed_training_geometry_v1,c977b0b340e62770327cec65ebed9920cd7ac8d51038c5b6a5bfd8c47ce8625c,evaluation\layouts\fixed_training_geometry.json,fixed_training_geometry,58,10058,10.0,stochastic,200,3,0.1,0.25,enabled,ppo_train_projection,runs\checkpoints\final\ppo_train_projection_51200_seed1.pt,58,10058,11.238222004007676,69,True,False,True,False,0.2451325942682753,0.0434960901300884,47,0.6811594202898551,35,0.5072463768115942,28,0.4057971014492754,0.509780286701465,2.3721237182617188,True,28,0.4057971014492754,0.194866269616758,1.6595065566693428,0.0003860069864718,0.0064322263008055,0,0.25,2.0,1000.0,0.0,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\evaluation\final\fixed_training_geometry\ppo_train_projection\seed1\projection_enabled.csv,projection_result_tables_v1
ppo_train_projection,1,10.0,True,3c5949efe582518ed18dd33bd0066b919e2240bf8d1a1675995de14bf291227d,navigation_layout_suite_v1,fixed_training_geometry_v1,c977b0b340e62770327cec65ebed9920cd7ac8d51038c5b6a5bfd8c47ce8625c,evaluation\layouts\fixed_training_geometry.json,fixed_training_geometry,59,10059,10.0,stochastic,200,3,0.1,0.25,enabled,ppo_train_projection,runs\checkpoints\final\ppo_train_projection_51200_seed1.pt,59,10059,11.751218080424986,68,True,False,True,False,0.2360216342913902,0.071645252660893,39,0.5735294117647058,30,0.4411764705882353,15,0.2205882352941176,0.34948265688826,3.0434385447908823,True,34,0.5,0.2449960668264591,1.3118464432747272,0.0004666799971958,0.0076686909500453,0,0.25,2.0,1000.0,0.0,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\evaluation\final\fixed_training_geometry\ppo_train_projection\seed1\projection_enabled.csv,projection_result_tables_v1
ppo_train_projection,1,10.0,True,3c5949efe582518ed18dd33bd0066b919e2240bf8d1a1675995de14bf291227d,navigation_layout_suite_v1,fixed_training_geometry_v1,c977b0b340e62770327cec65ebed9920cd7ac8d51038c5b6a5bfd8c47ce8625c,evaluation\layouts\fixed_training_geometry.json,fixed_training_geometry,60,10060,10.0,stochastic,200,3,0.1,0.25,enabled,ppo_train_projection,runs\checkpoints\final\ppo_train_projection_51200_seed1.pt,60,10060,-6.081078089305793,200,False,False,False,True,1.9648894503838676,0.049268920906125,123,0.615,93,0.465,56,0.28,0.411215820756458,2.5221052169799805,True,49,0.245,0.1469945154780818,1.75097117637627,0.0002877352240541,0.011806937774017,0,0.25,2.0,1000.0,0.0,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\evaluation\final\fixed_training_geometry\ppo_train_projection\seed1\projection_enabled.csv,projection_result_tables_v1
ppo_train_projection,1,10.0,True,3c5949efe582518ed18dd33bd0066b919e2240bf8d1a1675995de14bf291227d,navigation_layout_suite_v1,fixed_training_geometry_v1,c977b0b340e62770327cec65ebed9920cd7ac8d51038c5b6a5bfd8c47ce8625c,evaluation\layouts\fixed_training_geometry.json,fixed_training_geometry,61,10061,10.0,stochastic,200,3,0.1,0.25,enabled,ppo_train_projection,runs\checkpoints\final\ppo_train_projection_51200_seed1.pt,61,10061,11.045439573637031,85,True,False,True,False,0.1530661709752161,0.0208588598099255,53,0.6235294117647059,36,0.4235294117647059,25,0.2941176470588235,0.4548968844585327,2.287097930908203,True,30,0.3529411764705882,0.2300221900751218,1.9791997856883048,0.0005975754847244,0.0083988536449838,0,0.25,2.0,1000.0,0.0,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\evaluation\final\fixed_training_geometry\ppo_train_projection\seed1\projection_enabled.csv,projection_result_tables_v1
ppo_train_projection,1,10.0,True,3c5949efe582518ed18dd33bd0066b919e2240bf8d1a1675995de14bf291227d,navigation_layout_suite_v1,fixed_training_geometry_v1,c977b0b340e62770327cec65ebed9920cd7ac8d51038c5b6a5bfd8c47ce8625c,evaluation\layouts\fixed_training_geometry.json,fixed_training_geometry,62,10062,10.0,stochastic,200,3,0.1,0.25,enabled,ppo_train_projection,runs\checkpoints\final\ppo_train_projection_51200_seed1.pt,62,10062,11.6707980767495,66,True,False,True,False,0.2241502620197167,0.0774721070786858,41,0.6212121212121212,34,0.5151515151515151,20,0.303030303030303,0.5139057865009656,2.570618867874145,True,41,0.6212121212121212,0.2398767037369395,1.5401092002016046,0.0003646898315,0.0048579821804529,0,0.25,2.0,1000.0,0.0,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\evaluation\final\fixed_training_geometry\ppo_train_projection\seed1\projection_enabled.csv,projection_result_tables_v1
ppo_train_projection,1,10.0,True,3c5949efe582518ed18dd33bd0066b919e2240bf8d1a1675995de14bf291227d,navigation_layout_suite_v1,fixed_training_geometry_v1,c977b0b340e62770327cec65ebed9920cd7ac8d51038c5b6a5bfd8c47ce8625c,evaluation\layouts\fixed_training_geometry.json,fixed_training_geometry,63,10063,10.0,stochastic,200,3,0.1,0.25,enabled,ppo_train_projection,runs\checkpoints\final\ppo_train_projection_51200_seed1.pt,63,10063,11.640857578091438,67,True,False,True,False,0.2375584100405291,0.1090843320463057,40,0.5970149253731343,32,0.4776119402985074,17,0.2537313432835821,0.4399075433798127,2.5673422813415527,True,24,0.3582089552238806,0.1508295952016013,1.490016549791893,0.0003232911208907,0.0045710120562735,0,0.25,2.0,1000.0,0.0,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\evaluation\final\fixed_training_geometry\ppo_train_projection\seed1\projection_enabled.csv,projection_result_tables_v1
ppo_train_projection,1,10.0,True,3c5949efe582518ed18dd33bd0066b919e2240bf8d1a1675995de14bf291227d,navigation_layout_suite_v1,fixed_training_geometry_v1,c977b0b340e62770327cec65ebed9920cd7ac8d51038c5b6a5bfd8c47ce8625c,evaluation\layouts\fixed_training_geometry.json,fixed_training_geometry,64,10064,10.0,stochastic,200,3,0.1,0.25,enabled,ppo_train_projection,runs\checkpoints\final\ppo_train_projection_51200_seed1.pt,64,10064,-7.621541512006303,200,False,False,False,True,2.534398783699911,0.0702244790887088,126,0.63,90,0.45,67,0.335,0.4734880056400203,2.2765536308288574,True,21,0.105,0.0569146831328217,1.4977068360650576,0.0001198257062494,0.0056730630154798,0,0.25,2.0,1000.0,0.0,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\evaluation\final\fixed_training_geometry\ppo_train_projection\seed1\projection_enabled.csv,projection_result_tables_v1
ppo_train_projection,1,10.0,True,3c5949efe582518ed18dd33bd0066b919e2240bf8d1a1675995de14bf291227d,navigation_layout_suite_v1,fixed_training_geometry_v1,c977b0b340e62770327cec65ebed9920cd7ac8d51038c5b6a5bfd8c47ce8625c,evaluation\layouts\fixed_training_geometry.json,fixed_training_geometry,65,10065,10.0,stochastic,200,3,0.1,0.25,enabled,ppo_train_projection,runs\checkpoints\final\ppo_train_projection_51200_seed1.pt,65,10065,10.927301895631752,97,True,False,True,False,0.233583152484731,0.0260025569855292,63,0.6494845360824743,52,0.5360824742268041,25,0.2577319587628865,0.5752029329226276,2.473857879638672,True,52,0.5360824742268041,0.3805688880520027,1.9384628479719228,0.0009815655179225,0.0116000207798791,0,0.25,2.0,1000.0,0.0,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\evaluation\final\fixed_training_geometry\ppo_train_projection\seed1\projection_enabled.csv,projection_result_tables_v1
ppo_train_projection,1,10.0,True,3c5949efe582518ed18dd33bd0066b919e2240bf8d1a1675995de14bf291227d,navigation_layout_suite_v1,fixed_training_geometry_v1,c977b0b340e62770327cec65ebed9920cd7ac8d51038c5b6a5bfd8c47ce8625c,evaluation\layouts\fixed_training_geometry.json,fixed_training_geometry,66,10066,10.0,stochastic,200,3,0.1,0.25,enabled,ppo_train_projection,runs\checkpoints\final\ppo_train_projection_51200_seed1.pt,66,10066,11.302500722333445,78,True,False,True,False,0.200762435274881,0.0312459820328333,44,0.5641025641025641,36,0.4615384615384615,22,0.282051282051282,0.4204603156331056,2.13765025138855,True,41,0.5256410256410257,0.3379342107848292,1.7794641732197312,0.0009287079776813,0.0102743640104528,0,0.25,2.0,1000.0,0.0,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\evaluation\final\fixed_training_geometry\ppo_train_projection\seed1\projection_enabled.csv,projection_result_tables_v1
ppo_train_projection,1,10.0,True,3c5949efe582518ed18dd33bd0066b919e2240bf8d1a1675995de14bf291227d,navigation_layout_suite_v1,fixed_training_geometry_v1,c977b0b340e62770327cec65ebed9920cd7ac8d51038c5b6a5bfd8c47ce8625c,evaluation\layouts\fixed_training_geometry.json,fixed_training_geometry,67,10067,10.0,stochastic,200,3,0.1,0.25,enabled,ppo_train_projection,runs\checkpoints\final\ppo_train_projection_51200_seed1.pt,67,10067,11.528323525588435,71,True,False,True,False,0.1917090387564089,0.0527000579424973,48,0.676056338028169,39,0.5492957746478874,19,0.2676056338028169,0.4872901571707246,1.890093154423659,True,38,0.5352112676056338,0.2595092232396646,1.5906149044760614,0.0004286911759344,0.0071254073385927,0,0.25,2.0,1000.0,0.0,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\evaluation\final\fixed_training_geometry\ppo_train_projection\seed1\projection_enabled.csv,projection_result_tables_v1
ppo_train_projection,1,10.0,True,3c5949efe582518ed18dd33bd0066b919e2240bf8d1a1675995de14bf291227d,navigation_layout_suite_v1,fixed_training_geometry_v1,c977b0b340e62770327cec65ebed9920cd7ac8d51038c5b6a5bfd8c47ce8625c,evaluation\layouts\fixed_training_geometry.json,fixed_training_geometry,68,10068,10.0,stochastic,200,3,0.1,0.25,enabled,ppo_train_projection,runs\checkpoints\final\ppo_train_projection_51200_seed1.pt,68,10068,11.02468800724112,79,True,False,True,False,0.2338085334364018,0.0239666341233953,49,0.620253164556962,32,0.4050632911392405,35,0.4430379746835443,0.4935306274334614,2.224721182913514,True,45,0.569620253164557,0.2825061852124001,1.9431246136346096,0.0008940122895336,0.0110526370785827,0,0.25,2.0,1000.0,0.0,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\evaluation\final\fixed_training_geometry\ppo_train_projection\seed1\projection_enabled.csv,projection_result_tables_v1
ppo_train_projection,1,10.0,True,3c5949efe582518ed18dd33bd0066b919e2240bf8d1a1675995de14bf291227d,navigation_layout_suite_v1,fixed_training_geometry_v1,c977b0b340e62770327cec65ebed9920cd7ac8d51038c5b6a5bfd8c47ce8625c,evaluation\layouts\fixed_training_geometry.json,fixed_training_geometry,69,10069,10.0,stochastic,200,3,0.1,0.25,enabled,ppo_train_projection,runs\checkpoints\final\ppo_train_projection_51200_seed1.pt,69,10069,11.291499990887376,72,True,False,True,False,0.247731682977344,0.0349026176699104,46,0.6388888888888888,29,0.4027777777777778,22,0.3055555555555556,0.4169573987601777,1.9160962104797363,True,20,0.2777777777777778,0.1865418485385176,1.802692797240148,0.0005331126798267,0.0067481353920544,0,0.25,2.0,1000.0,0.0,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\evaluation\final\fixed_training_geometry\ppo_train_projection\seed1\projection_enabled.csv,projection_result_tables_v1
ppo_train_projection,1,10.0,True,3c5949efe582518ed18dd33bd0066b919e2240bf8d1a1675995de14bf291227d,navigation_layout_suite_v1,fixed_training_geometry_v1,c977b0b340e62770327cec65ebed9920cd7ac8d51038c5b6a5bfd8c47ce8625c,evaluation\layouts\fixed_training_geometry.json,fixed_training_geometry,70,10070,10.0,stochastic,200,3,0.1,0.25,enabled,ppo_train_projection,runs\checkpoints\final\ppo_train_projection_51200_seed1.pt,70,10070,11.17659391848601,79,True,False,True,False,0.2357956790986649,0.0223575686303368,42,0.5316455696202531,28,0.3544303797468354,28,0.3544303797468354,0.449665140531603,2.3905597372621514,True,22,0.2784810126582278,0.1816602832296244,1.6612349689404506,0.0005523538578676,0.0075215521080363,0,0.25,2.0,1000.0,0.0,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\evaluation\final\fixed_training_geometry\ppo_train_projection\seed1\projection_enabled.csv,projection_result_tables_v1
ppo_train_projection,1,10.0,True,3c5949efe582518ed18dd33bd0066b919e2240bf8d1a1675995de14bf291227d,navigation_layout_suite_v1,fixed_training_geometry_v1,c977b0b340e62770327cec65ebed9920cd7ac8d51038c5b6a5bfd8c47ce8625c,evaluation\layouts\fixed_training_geometry.json,fixed_training_geometry,71,10071,10.0,stochastic,200,3,0.1,0.25,enabled,ppo_train_projection,runs\checkpoints\final\ppo_train_projection_51200_seed1.pt,71,10071,10.652380893264567,106,True,False,True,False,0.2386399637714852,0.0303693647883994,66,0.6226415094339622,47,0.4433962264150943,32,0.3018867924528302,0.4578417914867455,1.9930447514495264,True,55,0.5188679245283019,0.4992084976243275,2.2056691342645425,0.0023679280204039,0.015713236463524,0,0.25,2.0,1000.0,0.0,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\evaluation\final\fixed_training_geometry\ppo_train_projection\seed1\projection_enabled.csv,projection_result_tables_v1
ppo_train_projection,1,10.0,True,3c5949efe582518ed18dd33bd0066b919e2240bf8d1a1675995de14bf291227d,navigation_layout_suite_v1,fixed_training_geometry_v1,c977b0b340e62770327cec65ebed9920cd7ac8d51038c5b6a5bfd8c47ce8625c,evaluation\layouts\fixed_training_geometry.json,fixed_training_geometry,72,10072,10.0,stochastic,200,3,0.1,0.25,enabled,ppo_train_projection,runs\checkpoints\final\ppo_train_projection_51200_seed1.pt,72,10072,11.16610552757193,87,True,False,True,False,0.242595538561498,0.0366113381191379,52,0.5977011494252874,34,0.3908045977011494,26,0.2988505747126437,0.4237609735662561,2.8779065420165777,True,45,0.5172413793103449,0.3589501737674179,2.0575909268619887,0.0012052693109554,0.018630035058294,0,0.25,2.0,1000.0,0.0,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\evaluation\final\fixed_training_geometry\ppo_train_projection\seed1\projection_enabled.csv,projection_result_tables_v1
